stage	collection_location	strain
Early	Maela	OHP300
Early	Maela	OHP338
Early	Maela	OHP189
Early	Maela	OHP345
Early	WangPha	OHP1523
Early	Maela	OHP293
Early	Maela	OHP259
Early	Maela	OHP111
Early	Maela	OHP160
Early	Maela	OHP124
Early	Maela	OHP263
Early	WangPha	OHP1500
Early	Maela	OHP44
Early	Maela	OHP355
Early	Maela	OHP213
Early	Maela	OHP121
Early	Maela	OHP102
Early	Maela	OHP183
Early	Maela	OHP218
Early	Maela	OHP319
Early	Maela	OHP289
Early	Maela	OHP133
Early	Maela	OHP295
Early	WangPha	OHP1510
Early	WangPha	OHP1525
Early	Maela	OHP122
Early	Maela	OHP82
Early	WangPha	OHP1501
Early	Maela	OHP291
Early	Maela	OHP346
Early	Maela	OHP292
Early	Maela	OHP95
Early	Maela	OHP116
Early	Maela	OHP184
Early	Maela	OHP339
Early	Maela	OHP92
Early	Maela	OHP268
Early	WangPha	OHP1524
Early	Maela	OHP228
Early	Maela	OHP135
Early	Maela	OHP343
Early	Maela	OHP304
Early	Maela	OHP277
Early	Maela	OHP260
Early	Maela	OHP288
Early	Maela	OHP125
Early	Maela	OHP337
Early	Maela	OHP182
Early	Maela	OHP341
Early	Maela	OHP275
Middle	WangPha	NHP4303
Middle	WangPha	NHP4147
Middle	WangPha	NHP4263
Middle	WangPha	NHP4212
Middle	WangPha	NHP4123
Middle	WangPha	NHP4080
Middle	WangPha	NHP4323
Middle	WangPha	NHP4251
Middle	WangPha	NHP4193
Middle	Maela	NHP3020
Middle	WangPha	NHP4302
Middle	WangPha	NHP4215
Middle	WangPha	NHP4224
Middle	WangPha	NHP4332
Middle	Maela	NHP3055
Middle	Maela	NHP3046
Middle	WangPha	NHP4187
Middle	WangPha	NHP4278
Middle	Maela	NHP3066
Middle	WangPha	NHP4203
Middle	WangPha	NHP4319
Middle	WangPha	NHP4049
Middle	WangPha	NHP4162
Middle	WangPha	NHP4371
Middle	WangPha	NHP4269
